,parent,child,dist
0,4254.0,4255.0,3.2425750973175127e-10
1,2587.0,4113.0,4.1143521922748505e-10
2,3044.0,3049.0,4.3661552151519345e-10
3,3884.0,3885.0,6.444290656659746e-10
4,3212.0,3214.0,7.150805503286506e-10
5,3048.0,3056.0,7.50822626294223e-10
6,2726.0,4408.0,7.646829836005509e-10
7,2293.0,3804.0,7.723375272661315e-10
8,2971.0,2976.0,8.089742209449469e-10
9,3043.0,3050.0,8.673926021884881e-10
10,1687.0,4114.0,8.963573217002363e-10
11,3042.0,4460.0,1.2132440607715012e-09
12,2430.0,2431.0,1.278604777610326e-09
13,2499.0,4452.0,1.8730108575226723e-09
14,2645.0,2650.0,2.077384819720862e-09
15,1886.0,3684.0,2.2980902736335906e-09
16,460.0,461.0,2.3824489048251962e-09
17,4291.0,4293.0,2.3839875629150242e-09
18,1387.0,1389.0,2.401347010128063e-09
19,1083.0,1084.0,2.407144150673446e-09
20,1698.0,3372.0,2.440562751893083e-09
21,4243.0,4451.0,2.442013369297058e-09
22,2856.0,3756.0,2.9728172146192833e-09
23,4250.0,4251.0,3.448288321550308e-09
24,271.0,272.0,3.540938098289814e-09
25,268.0,269.0,3.5961180699928263e-09
26,422.0,423.0,3.650570401525499e-09
27,4123.0,4124.0,3.8296936732962195e-09
28,327.0,3032.0,3.83566067796437e-09
29,234.0,236.0,3.987585261988613e-09
30,4344.0,4346.0,4.113196339083913e-09
31,1130.0,1132.0,4.202263426122954e-09
32,677.0,2084.0,4.361869754276881e-09
33,4461.0,4464.0,4.467296643717589e-09
34,915.0,4221.0,4.594656766165883e-09
35,4253.0,4256.0,4.610242299030176e-09
36,162.0,3013.0,4.829867616962247e-09
37,897.0,898.0,5.020351245832444e-09
38,2209.0,2213.0,5.3228933483140395e-09
39,1628.0,1633.0,5.506071709682203e-09
40,3264.0,3267.0,5.704473005074817e-09
41,4044.0,4280.0,5.881569342669479e-09
42,128.0,132.0,5.933644131594917e-09
43,1887.0,4466.0,5.963199489755766e-09
44,192.0,3690.0,6.009792774541722e-09
45,1126.0,3045.0,6.143702213634583e-09
46,1348.0,1427.0,6.241033800868934e-09
47,1621.0,1624.0,6.268966679101595e-09
48,1724.0,1726.0,6.538780628062568e-09
49,3188.0,3277.0,6.824931730875505e-09
50,1391.0,4469.0,6.832032939385613e-09
51,1654.0,4244.0,6.930888529765866e-09
52,1559.0,1561.0,6.9991711315608995e-09
53,4453.0,4462.0,7.052212702696181e-09
54,1568.0,2382.0,7.362286447154531e-09
55,888.0,891.0,7.467793272653012e-09
56,627.0,3280.0,7.746333019476026e-09
57,3522.0,3524.0,7.939360502362547e-09
58,421.0,681.0,8.014058638927679e-09
59,3351.0,3563.0,8.38070901565402e-09
60,2852.0,4473.0,9.164470959888149e-09
61,4188.0,4194.0,9.410471624171635e-09
62,3370.0,3847.0,9.546637036450534e-09
63,1870.0,1871.0,9.720067972729396e-09
64,774.0,775.0,1.0071551148627123e-08
65,695.0,4162.0,1.0090686175523444e-08
